ID,Barcode,Nombre,UsageType (Masculino/Femenino/Universal),TargetAnatomy (Prostata/Clitoris/Vaginal/Anal/Universal),StimulationType (Vibracion/Succion/Empuje/Calentamiento/Interactivo),MotorLogic (Single Channel/Dual Channel),DB_Id,RealTitle,Pics,CateId,Qrcode,SupportedFuncs,Wireless,FactoryId,IsEncrypt,IsPrecise,BroadcastPrefix,BleName
8044,8044,AASJ232,Universal,Anal,Vibración,Dual Channel (0xD + 0xA),0,,https://image.zlmicro.com/images/product/20250307/20250307172833813.jpg,10,https://image.zlmicro.com/images/product/qrcode/8044.png,classic|music|shake|intera|finger|video|game,2.4G,82,No,0-255,77 62 4d 53 45,
8053,8053,AATD122,Universal,Anal,Interactivo,Dual Channel (0xD + 0xA),0,JY021,https://image.zlmicro.com/images/product/20220517/20220517142552998.png,3,https://image.zlmicro.com/images/product/qrcode/8053.png,classic|music|shake|intera|finger|voice|video|game|explore,2.4G,53,No,0-255,77 62 4d 53 45,
8071,8071,AATD433,Universal,Anal,Interactivo,Dual Channel (0xD + 0xA),0,WB-0822B,https://image.zlmicro.com/images/product/20230914/20230914093715613.png,3,https://image.zlmicro.com/images/product/qrcode/8071.png,classic|music|shake|intera|finger|video|game|explore,2.4G,77,No,0-255,77 62 4d 53 45,
8073,8073,TETD001,Universal,Anal,Interactivo,Dual Channel (0xD + 0xA),0,ROCKET,https://image.zlmicro.com/images/product/20230331/20230331105244845.png,3,https://image.zlmicro.com/images/product/qrcode/8073.png,classic|music|shake|intera|finger|video|game|explore,BLE,192,No,0-255,77 62 4d 53 45,ROCKET
8075,8075,AATD652,Universal,Anal,Interactivo,Dual Channel (0xD + 0xA),0,,https://image.zlmicro.com/images/product/20240827/20240827103203952.png,3,https://image.zlmicro.com/images/product/qrcode/8075.png,classic|music|shake|intera|finger|video|game|explore,2.4G,169,No,0-255,77 62 4d 53 45,
8084,8084,JAHT001,Universal,Anal,Interactivo,Dual Channel (0xD + 0xA),0,RC-APP-04,https://image.zlmicro.com/images/product/20220331/20220331133706317.png,4,https://image.zlmicro.com/images/product/qrcode/8084.png,classic|music|shake|intera|finger|video|game|explore,2.4G,65,No,0-255,77 62 4d 53 45,
8070,8070,YCTD017,Universal,Anal,Interactivo,Dual Channel (0xD + 0xA),0,,https://image.zlmicro.com/images/product/20231107/20231107133406487.png,3,https://image.zlmicro.com/images/product/qrcode/8070.png,classic|music|shake|intera|finger|video|game|explore,2.4G,48,No,0-255,77 62 4d 53 45,
8078,8078,AATD330,Universal,Anal,Interactivo,Dual Channel (0xD + 0xA),0,小熊,https://image.zlmicro.com/images/product/20230609/20230609113530617.png,3,https://image.zlmicro.com/images/product/qrcode/8078.png,classic|music|shake|intera|finger|video|game|explore,2.4G,131,No,0-255,77 62 4d 53 45,
8055,8055,AATD546,Universal,Anal,Interactivo,Dual Channel (0xD + 0xA),0,,https://image.zlmicro.com/images/product/20240418/20240418093551537.jpg,3,https://image.zlmicro.com/images/product/qrcode/8055.png,classic|music|shake|intera|finger|video|game|explore,2.4G,290,No,0-255,77 62 4d 53 45,
8080,8080,AAGS036,Universal,Anal,Vibración,Dual Channel (0xD + 0xA),0,,https://image.zlmicro.com/images/product/20230512/20230512103145744.png,13,https://image.zlmicro.com/images/product/qrcode/8080.png,classic|music|shake|intera|finger|video|game|explore,2.4G,149,No,0-255,77 62 4d 53 45,
8083,8083,YEHT022,Universal,Anal,Interactivo,Dual Channel (0xD + 0xA),0,,https://image.zlmicro.com/images/product/20231114/20231114094845723.jpg,4,https://image.zlmicro.com/images/product/qrcode/8083.png,classic|music|shake|intera|finger|video|game|explore,2.4G,14,No,0-255,77 62 4d 53 45,
